sequence_id,weather,road_type,csv_frames,rad_files,rae_files,matched_frames,rad_only,rae_only,matched_minus_csv
1,Normal,Urban,597,597,597,597,0,0,0
2,Normal,Highway,598,598,598,598,0,0,0
3,Normal,Highway,599,599,599,599,0,0,0
4,Normal,Highway,588,588,588,588,0,0,0
5,Normal,Urban,598,598,598,598,0,0,0
6,Normal,Urban,594,594,594,594,0,0,0
7,Normal,Alleyway,595,595,595,595,0,0,0
8,Normal,University,598,598,598,598,0,0,0
9,Normal,Highway,1206,1206,1206,1206,0,0,0
10,Normal,Highway,1203,1203,1203,1203,0,0,0
11,Normal,Highway,1195,1195,1195,1195,0,0,0
12,Normal,Highway,1192,1192,1192,1192,0,0,0
13,Overcast,Highway,1190,1190,1190,1190,0,0,0
14,Normal,Urban,595,595,595,595,0,0,0
15,Normal,Urban,591,591,591,591,0,0,0
16,Normal,University,590,590,590,590,0,0,0
17,Normal,University,593,593,593,593,0,0,0
18,Normal,Urban,594,594,594,594,0,0,0
19,Normal,Alleyway,592,592,592,592,0,0,0
20,Normal,Urban,595,595,595,595,0,0,0
21,Rain,Alleyway,610,610,610,610,0,0,0
22,Overcast,Urban,611,611,611,611,0,0,0
23,Rain,Urban,611,611,611,611,0,0,0
24,Rain,Urban,610,610,610,610,0,0,0
25,Rain,Urban,613,613,613,613,0,0,0
26,Rain,Suburban,608,608,608,608,0,0,0
27,Sleet,Suburban,609,609,609,609,0,0,0
28,Sleet,Mountain,611,611,611,611,0,0,0
29,Sleet,Mountain,614,614,614,614,0,0,0
30,Sleet,Parking Lot,610,610,610,610,0,0,0
31,Sleet,Suburban,608,608,608,608,0,0,0
32,Rain,Suburban,610,610,610,610,0,0,0
33,Rain,Suburban,610,610,610,610,0,0,0
34,Rain,Suburban,611,611,611,611,0,0,0
35,Sleet,Parking Lot,609,609,609,609,0,0,0
36,Sleet,Parking Lot,609,609,609,609,0,0,0
37,Sleet,Suburban,609,609,609,609,0,0,0
38,Fog,Mountain,604,604,604,604,0,0,0
39,Fog,Mountain,606,606,606,606,0,0,0
40,Fog,Mountain,610,610,610,610,0,0,0
41,Fog,Mountain,607,607,607,607,0,0,0
42,Light Snow,Urban,605,605,605,605,0,0,0
43,Light Snow,Urban,609,609,609,609,0,0,0
44,Fog,Shoulder,605,605,605,605,0,0,0
45,Fog,Shoulder,593,593,593,593,0,0,0
46,Heavy Snow,Highway,609,609,609,609,0,0,0
47,Heavy Snow,Highway,609,609,609,609,0,0,0
48,Light Snow,Highway,606,606,606,606,0,0,0
49,Light Snow,Highway,608,608,608,608,0,0,0
50,Sleet,Highway,607,607,607,607,0,0,0
51,Sleet,Highway,608,608,608,608,0,0,0
52,Sleet,Highway,612,612,612,612,0,0,0
53,Sleet,Highway,611,611,611,611,0,0,0
54,Heavy Snow,Urban,611,611,611,611,0,0,0
55,Heavy Snow,Urban,613,613,613,613,0,0,0
56,Heavy Snow,Urban,608,608,608,608,0,0,0
57,Heavy Snow,Urban,609,609,609,609,0,0,0
58,Heavy Snow,Urban,609,609,609,609,0,0,0
