Average AP uses epochs 5-24 inclusive (20 epochs).
src=source-trained model; tgt=target-trained model; TD_BEV=BEV_tgt-BEV_src; TD_3D=3D_tgt-3D_src; average(n) uses n complete source/target pairs.

seed        shared_seq source_seq target_seq test_seq BEV_src  3D_src BEV_tgt  3D_tgt  TD_BEV   TD_3D
-----------------------------------------------------------------------------------------------------
seed42      9          11         13         22       52.6956 46.2473 48.2464 39.4751 -4.4492 -6.7722
seed42      9_first    1          22         13        4.8853  3.1814  4.3256  2.5644 -0.5597 -0.6170
seed42      9_last     1          22         13        3.2097  1.5640  4.9003  2.7889  1.6906  1.2249
seed42      12         11         13         22       40.8864 35.8765 43.3933 35.3350  2.5069 -0.5415
seed42      12_first   1          22         13        7.3659  4.0264  7.6187  4.3014  0.2528  0.2750
seed42      12_last    1          22         13        3.7995  2.0832  3.9976  2.0990  0.1981  0.0158
seed43      9          11         13         22       48.4671 42.6642 45.0072 38.2727 -3.4599 -4.3915
seed43      9_first    1          22         13        6.0146  4.2088  5.1739  3.4002 -0.8407 -0.8086
seed43      9_last     1          22         13        3.0342  1.6863  4.9615  2.5188  1.9273  0.8325
seed43      12         11         13         22       40.0936 34.7927 36.5214 30.9706 -3.5722 -3.8221
seed43      12_first   1          22         13        6.6403  4.2644  7.9919  4.6805  1.3516  0.4161
seed43      12_last    1          22         13        3.2225  2.0252  4.4076  2.3897  1.1851  0.3645
seed44      9          11         13         22       51.1092 44.4759 46.5277 37.1637 -4.5815 -7.3122
seed44      9_first    1          22         13        4.6598  3.4071  4.3971  2.6935 -0.2627 -0.7136
seed44      9_last     1          22         13        3.1747  1.7128  4.3247  2.3042  1.1500  0.5914
seed44      12         11         13         22       44.8566 38.6186 38.1554 31.1586 -6.7012 -7.4600
seed44      12_first   1          22         13        6.7979  4.1955  6.6067  3.5566 -0.1912 -0.6389
seed44      12_last    1          22         13        2.5897  1.4790  4.4571  2.6294  1.8674  1.1504
average(18) -          -          -          -              -       -       -       - -0.6938 -1.5671
