Average AP uses epochs 5-24 inclusive (20 epochs).
src=source-trained model; tgt=target-trained model; TD_BEV=BEV_tgt-BEV_src; TD_3D=3D_tgt-3D_src; average(n) uses n complete source/target pairs.

seed       shared_seq source_seq target_seq test_seq BEV_src  3D_src BEV_tgt  3D_tgt  TD_BEV   TD_3D
----------------------------------------------------------------------------------------------------
seed42     9,12_first 3,10,11    50,51,52   53       87.8362 54.9907       -       -       -       -
seed42     9,12_first 3,10,11    50,51,53   52        7.2298  0.4963       -       -       -       -
seed42     9,12_first 10,11      50,52,53   51       44.8565 24.2250       -       -       -       -
seed42     9,12_first 3,10       51,52,53   50       37.7688 18.6358 56.4593 32.7091 18.6905 14.0733
seed42     9,12_first 3,10,11    50,51,52   53             -       - 90.1296 51.9119       -       -
seed42     9,12_first 3,10,11    50,51,53   52             -       - 24.8337 14.7422       -       -
seed42     9,12_first 10,11      50,52,53   51             -       - 60.6656 43.1573       -       -
seed43     9,12_first 3,10,11    50,51,52   53       87.9270 49.8882       -       -       -       -
seed43     9,12_first 3,10,11    50,51,53   52       14.0814  0.4508       -       -       -       -
seed43     9,12_first 10,11      50,52,53   51       45.1738 21.1453       -       -       -       -
seed43     9,12_first 3,10       51,52,53   50       37.0826 17.5364 45.2561 28.0748  8.1735 10.5384
seed43     9,12_first 3,10,11    50,51,52   53             -       - 86.4712 42.9374       -       -
seed43     9,12_first 3,10,11    50,51,53   52             -       - 25.4790 16.0477       -       -
seed43     9,12_first 10,11      50,52,53   51             -       - 58.7532 44.5311       -       -
seed44     9,12_first 3,10,11    50,51,52   53       88.4206 42.8729       -       -       -       -
seed44     9,12_first 3,10,11    50,51,53   52       16.6642  1.3221       -       -       -       -
seed44     9,12_first 10,11      50,52,53   51       46.4293 19.2971       -       -       -       -
seed44     9,12_first 3,10       51,52,53   50       37.5225 17.3188 45.8949 28.7702  8.3724 11.4514
seed44     9,12_first 3,10,11    50,51,52   53             -       - 83.2107 46.0644       -       -
seed44     9,12_first 3,10,11    50,51,53   52             -       - 30.6813 18.0495       -       -
seed44     9,12_first 10,11      50,52,53   51             -       - 63.8341 42.5679       -       -
average(3) -          -          -          -              -       -       -       - 11.7455 12.0210
