group        seed  shared_seq  source_seq  target_seq  test_seq  BEV_src  3D_src   BEV_tgt  3D_tgt   TD_BEV   TD_3D    range_m_q1        N_bbox_q1  BEV_src_q1  3D_src_q1  BEV_tgt_q1  3D_tgt_q1  TD_BEV_q1  TD_3D_q1  range_m_q2         N_bbox_q2  BEV_src_q2  3D_src_q2  BEV_tgt_q2  3D_tgt_q2  TD_BEV_q2  TD_3D_q2  range_m_q3         N_bbox_q3  BEV_src_q3  3D_src_q3  BEV_tgt_q3  3D_tgt_q3  TD_BEV_q3  TD_3D_q3  range_m_q4     N_bbox_q4  BEV_src_q4  3D_src_q4  BEV_tgt_q4  3D_tgt_q4  TD_BEV_q4  TD_3D_q4
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
group1       42    9           15,5        24,25       23        45.8805  25.6088  54.0046  34.1339   8.1241   8.5251  [0.0000,22.8968)        393     45.9519    43.2300     63.7947    61.7031    27.9691   29.9387  [22.8968,39.8224)        392     43.6674    37.7403     43.8410    37.5845     0.3960   -0.4145  [39.8224,53.4989)        393     48.7622    11.2040     53.4908    19.8216     8.8400   43.4758  [53.4989,inf)        392     48.3139    13.9194     49.0029    17.7648     1.4060   21.6462
group4       42    9           20,5        24,25       23        40.2097  22.3310  56.4281  34.8202  16.2184  12.4892  [0.0000,22.8968)        393     40.9123    37.7243     67.8827    66.7808    39.7309   43.5103  [22.8968,39.8224)        392     35.9293    29.1546     46.9309    41.0579    23.4421   28.9915  [39.8224,53.4989)        393     41.5682     9.1469     56.5418    18.9772    26.4824   51.8006  [53.4989,inf)        392     43.9740    16.9852     49.0815    16.7635    10.4062   -1.3225
group2       42    9           15,5        23,25       24        44.3212  26.7730  69.8328  45.8413  25.5116  19.0683  [0.0000,31.3499)        508     57.4215    55.2808     75.1827    72.3221    23.6241   23.5631  [31.3499,49.1760)        508     47.4397    38.4835     73.6309    64.5270    35.5709   40.3606  [49.1760,61.5117)        507     50.5420    10.2362     78.2388    29.1641    35.4003   64.9014  [61.5117,inf)        508     20.8416     4.2914     43.5641    11.8512    52.1588   63.7893
group5       42    9           20,5        23,25       24        43.8184  26.9076  67.6824  43.7780  23.8640  16.8704  [0.0000,31.3499)        508     57.6291    55.0160     74.7116    72.0071    22.8646   23.5964  [31.3499,49.1760)        508     43.6662    36.7538     71.2356    61.7939    38.7017   40.5220  [49.1760,61.5117)        507     48.8376    12.1432     74.7767    25.4255    34.6887   52.2401  [61.5117,inf)        508     25.1807     6.2686     43.4889    10.9081    42.0986   42.5326
group3       42    9           15,5        23,24       25        28.8668  23.5785  53.3106  40.2347  24.4438  16.6562  [0.0000,20.0468)        505     47.9508    45.7256     68.0554    65.0285    29.5415   29.6838  [20.0468,31.5953)        506     32.8458    28.5849     51.8201    37.1572    36.6157   23.0704  [31.5953,44.8272)        505     19.0424    11.9292     54.1914    34.3254    64.8608   65.2467  [44.8272,inf)        505      9.6608     4.7867     31.3305    20.9973    69.1649   77.2033
group6       42    9           20,5        23,24       25        24.6295  20.2679  53.1439  40.2587  28.5144  19.9908  [0.0000,20.0468)        505     42.4706    40.3289     66.9910    64.0749    36.6025   37.0598  [20.0468,31.5953)        506     27.7950    24.3946     52.2537    39.2728    46.8076   37.8842  [31.5953,44.8272)        505     15.9752    11.4231     53.6934    33.0285    70.2474   65.4144  [44.8272,inf)        505      9.5031     4.7676     31.1333    20.1847    69.4761   76.3801
group7       43    9           15,5        24,25       23        41.9427  23.8003  50.7081  31.4970   8.7654   7.6967  [0.0000,22.8968)        393     34.2760    31.1541     56.5690    53.9323    39.4085   42.2348  [22.8968,39.8224)        392     45.1094    36.3464     45.2669    40.6080     0.3479   10.4945  [39.8224,53.4989)        393     49.9434    14.3573     51.4379    19.3222     2.9054   25.6953  [53.4989,inf)        392     46.8886    16.2758     46.8458    15.4501    -0.0914   -5.3443
group10      43    9           20,5        24,25       23        39.9978  22.5385  50.6894  31.4579  10.6916   8.9194  [0.0000,22.8968)        393     35.5122    33.1695     61.1418    59.3706    41.9183   44.1314  [22.8968,39.8224)        392     39.9587    32.3590     42.3813    38.0168     5.7162   14.8824  [39.8224,53.4989)        393     43.9583    12.2198     51.9092    17.5195    15.3169   30.2503  [53.4989,inf)        392     42.4576    14.3049     44.5107    14.3048     4.6126   -0.0007
group8       43    9           15,5        23,25       24        47.8281  27.3316  69.2378  45.0316  21.4097  17.7000  [0.0000,31.3499)        508     58.8804    56.2253     74.9972    71.1151    21.4899   20.9376  [31.3499,49.1760)        508     49.7431    40.0461     72.4116    61.1213    31.3051   34.4809  [49.1760,61.5117)        507     56.4080    11.5882     77.0542    28.8330    26.7944   59.8092  [61.5117,inf)        508     23.5960     4.2540     45.6187    13.1459    48.2756   67.6401
group11      43    9           20,5        23,25       24        36.7271  21.9962  69.5499  45.7638  32.8228  23.7676  [0.0000,31.3499)        508     46.8245    44.3397     75.4136    70.7195    37.9097   37.3020  [31.3499,49.1760)        508     39.7159    33.3763     73.2731    62.4542    45.7974   46.5588  [49.1760,61.5117)        507     42.8882     9.2487     76.6915    29.4869    44.0770   68.6345  [61.5117,inf)        508     21.3859     4.1281     46.7329    14.7748    54.2380   72.0599
group9       43    9           15,5        23,24       25        26.3945  20.7545  52.7525  41.3121  26.3580  20.5576  [0.0000,20.0468)        505     38.9501    35.8738     68.9638    64.9220    43.5209   44.7432  [20.0468,31.5953)        506     32.8440    29.4663     50.8682    39.5521    35.4331   25.5000  [31.5953,44.8272)        505     18.9039    11.3054     53.1517    35.5775    64.4341   68.2232  [44.8272,inf)        505     10.7199     4.9481     28.9023    19.0193    62.9099   73.9838
group12      43    9           20,5        23,24       25        24.7254  20.5046  52.3635  41.7569  27.6381  21.2523  [0.0000,20.0468)        505     41.1818    38.7752     69.3519    67.0153    40.6191   42.1398  [20.0468,31.5953)        506     29.0660    27.1183     49.8991    39.3892    41.7505   31.1530  [31.5953,44.8272)        505     16.3139    11.6618     52.8538    35.6427    69.1339   67.2814  [44.8272,inf)        505      9.8439     4.7424     27.8743    18.5252    64.6847   74.4003
group16      44    9           20,5        24,25       23        47.6360  22.8276  54.0166  35.4717   6.3806  12.6441  [0.0000,22.8968)        393     40.6704    37.1096     60.9246    58.5836    33.2447   36.6553  [22.8968,39.8224)        392     45.8021    34.6223     47.4848    42.9674     3.5437   19.4219  [39.8224,53.4989)        393     51.2595    10.3437     54.3582    23.9486     5.7005   56.8087  [53.4989,inf)        392     48.6419    15.7151     47.2228    17.6301    -3.0051   10.8621
group17      44    9           20,5        23,25       24        46.4622  27.3649  68.0758  44.3267  21.6136  16.9618  [0.0000,31.3499)        508     55.2414    52.0642     74.8870    71.9087    26.2337   27.5968  [31.3499,49.1760)        508     45.5525    38.0480     72.0544    62.0966    36.7804   38.7277  [49.1760,61.5117)        507     56.4249    14.1989     76.3701    27.6672    26.1165   48.6797  [61.5117,inf)        508     29.7891     7.0317     45.2880    11.2352    34.2230   37.4137
group18      44    9           20,5        23,24       25        26.1121  21.0727  48.9116  36.9275  22.7995  15.8548  [0.0000,20.0468)        505     40.5248    37.2879     61.1920    55.9018    33.7743   33.2975  [20.0468,31.5953)        506     31.9442    28.2198     48.4985    36.4183    34.1336   22.5120  [31.5953,44.8272)        505     17.3803    11.5464     51.5114    32.7566    66.2593   64.7509  [44.8272,inf)        505     10.2452     5.3081     25.7274    16.8355    60.1779   68.4708
average(15)  -     -           -           -           -                                             20.3437  15.9303                                                                               33.2301   34.4260                                                                                27.7561   27.6097                                                                                37.4172   55.5475                                                                            38.0490   45.3143
