group        seed  shared_seq  source_seq  target_seq  test_seq  BEV_src  3D_src   BEV_tgt  3D_tgt   TD_BEV   TD_3D    BEV_src_0_30m  3D_src_0_30m  BEV_tgt_0_30m  3D_tgt_0_30m  TD_BEV_0_30m  TD_3D_0_30m  BEV_src_30_60m  3D_src_30_60m  BEV_tgt_30_60m  3D_tgt_30_60m  TD_BEV_30_60m  TD_3D_30_60m  BEV_src_60_90m  3D_src_60_90m  BEV_tgt_60_90m  3D_tgt_60_90m  TD_BEV_60_90m  TD_3D_60_90m  BEV_src_90_120m  3D_src_90_120m  BEV_tgt_90_120m  3D_tgt_90_120m  TD_BEV_90_120m  TD_3D_90_120m
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
group1       42    9           15,5        24,25       23        45.8805  25.6088  54.0046  34.1339   8.1241   8.5251        45.2931       42.5949        58.5774       56.0107       13.2843      13.4158         52.1131        18.0541         57.0300        23.9615         4.9169        5.9074         13.0971         3.7929          8.8237         4.1096        -4.2734        0.3167           0.0000          0.0000           0.0000          0.0000          0.0000         0.0000
group4       42    9           20,5        24,25       23        40.2097  22.3310  56.4281  34.8202  16.2184  12.4892        40.1974       37.0069        63.1881       61.7888       22.9907      24.7819         45.4137        15.5347         58.1348        22.7790        12.7211        7.2443         10.1878         3.8459          7.4467         2.8379        -2.7411       -1.0080           0.0000          0.0000           0.0000          0.0000          0.0000         0.0000
group2       42    9           15,5        23,25       24        44.3212  26.7730  69.8328  45.8413  25.5116  19.0683        58.2412       56.0795        75.9448       73.0276       17.7036      16.9481         49.8721        23.7613         78.0332        47.9934        28.1611       24.2321         23.7520         5.0057         48.2028        13.6671        24.4508        8.6614           6.1675          0.6928          10.9076          1.8795          4.7401         1.1867
group5       42    9           20,5        23,25       24        43.8184  26.9076  67.6824  43.7780  23.8640  16.8704        57.9320       55.2663        75.6655       72.9314       17.7335      17.6651         46.8967        24.3502         75.0162        44.6024        28.1195       20.2522         28.4301         7.5492         48.5376        12.6786        20.1075        5.1294           6.3156          0.5512           9.3614          1.2712          3.0458         0.7200
group3       42    9           15,5        23,24       25        28.8668  23.5785  53.3106  40.2347  24.4438  16.6562        42.0307       38.8231        61.3223       52.8951       19.2916      14.0720         18.4350        11.2020         51.3500        32.9759        32.9150       21.7739          3.9263         1.3029         15.8737         8.6714        11.9474        7.3685           0.0000          0.0000           0.0000          0.0000          0.0000         0.0000
group6       42    9           20,5        23,24       25        24.6295  20.2679  53.1439  40.2587  28.5144  19.9908        36.3105       33.2599        60.9857       53.4819       24.6752      20.2220         16.4484        11.0777         51.1738        32.4257        34.7254       21.3480          5.1806         2.2898         17.4592         8.6385        12.2786        6.3487           0.0000          0.0000           0.0000          0.0000          0.0000         0.0000
group7       43    9           15,5        24,25       23        41.9427  23.8003  50.7081  31.4970   8.7654   7.6967        35.7821       32.5212        53.8870       51.5715       18.1049      19.0503         53.9544        20.6447         55.4607        23.2146         1.5063        2.5699         14.0600         5.9538          8.4657         3.1872        -5.5943       -2.7666           0.0000          0.0000           0.0000          0.0000          0.0000         0.0000
group10      43    9           20,5        24,25       23        39.9978  22.5385  50.6894  31.4579  10.6916   8.9194        36.3063       33.6003        56.2846       54.2186       19.9783      20.6183         48.9125        17.8751         53.5878        21.0050         4.6753        3.1299          8.8871         3.3595          9.4521         3.5961         0.5650        0.2366           0.0000          0.0000           0.0000          0.0000          0.0000         0.0000
group8       43    9           15,5        23,25       24        47.8281  27.3316  69.2378  45.0316  21.4097  17.7000        59.3437       56.6499        76.0210       72.1856       16.6773      15.5357         54.7183        24.3797         76.8678        45.2006        22.1495       20.8209         26.9393         4.7583         50.1942        15.1443        23.2549       10.3860           6.8288          0.5248          11.1450          1.9971          4.3162         1.4723
group11      43    9           20,5        23,25       24        36.7271  21.9962  69.5499  45.7638  32.8228  23.7676        47.3677       44.8812        76.0327       71.3645       28.6650      26.4833         41.6223        20.6465         77.0767        46.9669        35.4544       26.3204         24.6376         5.1072         51.0382        16.8966        26.4006       11.7894           4.6642          0.3117          12.0446          2.1339          7.3804         1.8222
