group        seed  shared_seq     source_seq     target_seq      test_seq  BEV_src  3D_src   BEV_tgt  3D_tgt   TD_BEV   TD_3D
-----------------------------------------------------------------------------------------------------------------------------
group1       42    9,12,10_first  14,15,18,20,5  57,56,54,55,58  46,47     23.0909  21.7814  36.3234  34.3820  13.2325  12.6006
group2       42    9,12           3,15,14,5      47,56,57,58     54,55     39.4445  36.4387  43.3634  38.8708   3.9189   2.4321
group4       42    9,12           3,20,14,5      47,55,57,58     54,56     38.4671  33.0774  37.8243  32.4623  -0.6428  -0.6151
group3       42    9,12           3,18,14,5      47,54,57,58     55,56     44.7839  39.6598  47.1856  42.8409   2.4017   3.1811
group5       43    9,12,10_first  14,15,18,20,5  57,56,54,55,58  46,47     22.2008  21.1579  32.1358  30.8829   9.9350   9.7250
group6       43    9,12           3,15,14,5      47,56,57,58     54,55     42.0868  38.2883  47.7948  42.2176   5.7080   3.9293
group8       43    9,12           3,20,14,5      47,55,57,58     54,56     38.2958  33.6474  44.0943  37.4557   5.7985   3.8083
group7       43    9,12           3,18,14,5      47,54,57,58     55,56     45.4611  40.2651  49.7122  44.1453   4.2511   3.8802
group10      44    9,12           3,15,14,5      47,56,57,58     54,55     49.9623  45.9375  55.8480  49.4888   5.8857   3.5513
group12      44    9,12           3,20,14,5      47,55,57,58     54,56     41.4402  35.3763  49.3879  42.3528   7.9477   6.9765
group11      44    9,12           3,18,14,5      47,54,57,58     55,56     49.0521  44.6235  46.2094  39.0185  -2.8427  -5.6050
average(11)  -     -              -              -               -               -        -        -        -   5.0540   3.9877
