group        seed  shared_seq  source_seq                 target_seq  test_seq  BEV_src  3D_src   BEV_tgt  3D_tgt   TD_BEV   TD_3D
----------------------------------------------------------------------------------------------------------------------------------
group1       42    9,12_first  3,10_first,10_last         51,52,53    50        37.7688  18.6358  56.4593  32.7091  18.6905  14.0733
group2       42    9,12_first  11_first,10_first,10_last  50,52,53    51        44.8565  24.2250  60.6656  43.1573  15.8091  18.9323
group3       42    9,12_first  11_first,3,10_last         50,51,53    52         7.2298   0.4963  24.8337  14.7422  17.6039  14.2459
group4       42    9,12_first  11_first,3,10_first        50,51,52    53        87.8362  54.9907  90.1296  51.9119   2.2934  -3.0788
group5       42    -           -                          -           -               -        -        -        -        -        -
group6       43    9,12_first  3,10_first,10_last         51,52,53    50        37.0826  17.5364  45.2561  28.0748   8.1735  10.5384
group7       43    9,12_first  11_first,10_first,10_last  50,52,53    51        45.1738  21.1453  58.7532  44.5311  13.5794  23.3858
group8       43    9,12_first  11_first,3,10_last         50,51,53    52        14.0814   0.4508  25.4790  16.0477  11.3976  15.5969
group9       43    9,12_first  11_first,3,10_first        50,51,52    53        87.9270  49.8882  86.4712  42.9374  -1.4558  -6.9508
group10      44    9,12_first  3,10_first,10_last         51,52,53    50        37.5225  17.3188  45.8949  28.7702   8.3724  11.4514
group11      44    9,12_first  11_first,10_first,10_last  50,52,53    51        46.4293  19.2971  63.8341  42.5679  17.4048  23.2708
group12      44    9,12_first  11_first,3,10_last         50,51,53    52        16.6642   1.3221  30.6813  18.0495  14.0171  16.7274
group13      44    9,12_first  11_first,3,10_first        50,51,52    53        88.4206  42.8729  83.2107  46.0644  -5.2099   3.1915
average(12)  -     -           -                          -           -               -        -        -        -  10.0563  11.7820
