group        seed  shared_seq  source_seq  target_seq  test_seq  BEV_src  3D_src   BEV_tgt  3D_tgt   TD_BEV   TD_3D
-------------------------------------------------------------------------------------------------------------------
group1       42    9           15,5        24,25       23        45.8805  25.6088  54.0046  34.1339   8.1241   8.5251
group4       42    9           20,5        24,25       23        40.2097  22.3310  56.4281  34.8202  16.2184  12.4892
group2       42    9           15,5        23,25       24        44.3212  26.7730  69.8328  45.8413  25.5116  19.0683
group5       42    9           20,5        23,25       24        43.8184  26.9076  67.6824  43.7780  23.8640  16.8704
group3       42    9           15,5        23,24       25        28.8668  23.5785  53.3106  40.2347  24.4438  16.6562
group6       42    9           20,5        23,24       25        24.6295  20.2679  53.1439  40.2587  28.5144  19.9908
group7       43    9           15,5        24,25       23        41.9427  23.8003  50.7081  31.4970   8.7654   7.6967
group10      43    9           20,5        24,25       23        39.9978  22.5385  50.6894  31.4579  10.6916   8.9194
group8       43    9           15,5        23,25       24        47.8281  27.3316  69.2378  45.0316  21.4097  17.7000
group11      43    9           20,5        23,25       24        36.7271  21.9962  69.5499  45.7638  32.8228  23.7676
group9       43    9           15,5        23,24       25        26.3945  20.7545  52.7525  41.3121  26.3580  20.5576
group12      43    9           20,5        23,24       25        24.7254  20.5046  52.3635  41.7569  27.6381  21.2523
group16      44    9           20,5        24,25       23        47.6360  22.8276  54.0166  35.4717   6.3806  12.6441
group17      44    9           20,5        23,25       24        46.4622  27.3649  68.0758  44.3267  21.6136  16.9618
group18      44    9           20,5        23,24       25        26.1121  21.0727  48.9116  36.9275  22.7995  15.8548
average(15)  -     -           -           -           -               -        -        -        -  20.3437  15.9303
