# Weather experiment data composition
# Seed-independent partitions: each group is listed once using its seed-42 definition; seeds 43/44 repeat the same data.
# BBoxes are the effective Sedan target boxes used by the current Cartesian experiments.
# Normal Train uses the exact logged controlled split; shared sequences are omitted to match the requested table.

Weather     Group  Target Train (Sequences, Frames)  Target Train BBoxes  Normal Train (Sequences, Frames)   Normal Train BBoxes  Target Test (Sequences, Frames)  Target Test BBoxes
----------  -----  --------------------------------  -------------------  ---------------------------------  -------------------  -------------------------------  ------------------
Heavy Snow  G1     57,56,54,55,58 (3,050)            2,681                14,15,18,20,5 (2,973)              2,681                46,47 (1,218)                    434
Heavy Snow  G2     47,56,57,58 (2,435)               1,102                3,15,14,5 (2,383)                  1,102                54,55 (1,224)                    1,684
Heavy Snow  G4     47,55,57,58 (2,440)               1,316                3,20,14,5 (2,387)                  1,316                54,56 (1,219)                    1,470
Heavy Snow  G3     47,54,57,58 (2,438)               1,536                3,18,14,5 (2,386)                  1,536                55,56 (1,221)                    1,250
Light Snow  G1     43,48,49 (1,823)                  1,836                18,3,4 (1,781)                     1,763                42 (605)                         970
Light Snow  G6     43,48,49 (1,823)                  1,836                18,3,4 (1,781)                     1,763                42 (605)                         970
Light Snow  G2     42,48,49 (1,819)                  1,471                18,3,4 (1,781)                     1,398                43 (609)                         1,335
Light Snow  G7     42,48,49 (1,819)                  1,471                18,3,4 (1,781)                     1,398                43 (609)                         1,335
Light Snow  G4     42,43,49 (1,822)                  2,444                18,15,3 (1,784)                    2,444                48 (606)                         362
Light Snow  G8     42,43,49 (1,822)                  2,444                18,15,3 (1,784)                    2,444                48 (606)                         362
Light Snow  G5     42,43,48 (1,820)                  2,667                18,15,3 (1,784)                    2,667                49 (608)                         139
Light Snow  G9     42,43,48 (1,820)                  2,667                18,15,3 (1,784)                    2,667                49 (608)                         139
Overcast    G1     22 (611)                          1,444                1 (597)                            1,210                13 (1,190)                       305
Overcast    G2     22 (611)                          1,444                1 (597)                            1,210                13 (1,190)                       305
Overcast    G3     22 (611)                          1,444                1 (597)                            1,210                13 (1,190)                       305
Overcast    G4     22 (611)                          1,444                1 (597)                            1,210                13 (1,190)                       305
Overcast    G5     13 (1,190)                        305                  11 (1,190)                         305                  22 (611)                         1,444
Overcast    G6     13 (1,190)                        305                  11 (1,190)                         305                  22 (611)                         1,444
Rain        G1     24,25 (1,223)                     4,055                15,5 (1,189)                       3,668                23 (611)                         1,570
Rain        G4     24,25 (1,223)                     4,055                20,5 (1,193)                       3,929                23 (611)                         1,570
Rain        G2     23,25 (1,224)                     3,593                15,5 (1,189)                       3,593                24 (610)                         2,032
Rain        G5     23,25 (1,224)                     3,593                20,5 (1,193)                       3,593                24 (610)                         2,032
Rain        G3     23,24 (1,221)                     3,602                15,5 (1,189)                       3,602                25 (613)                         2,023
Rain        G6     23,24 (1,221)                     3,602                20,5 (1,193)                       3,602                25 (613)                         2,023
Sleet       G1     51,52,53 (1,831)                  1,288                3,10_first,10_last (1,802)         1,288                50 (607)                         1,077
Sleet       G2     50,52,53 (1,830)                  2,105                11_first,10_first,10_last (1,801)  2,105                51 (608)                         260
Sleet       G3     50,51,53 (1,826)                  1,927                11_first,3,10_last (1,799)         1,927                52 (612)                         438
Sleet       G4     50,51,52 (1,827)                  1,775                11_first,3,10_first (1,799)        1,775                53 (611)                         590
