group        seed  shared_seq  source_seq  target_seq  test_seq  BEV_src  3D_src   BEV_tgt  3D_tgt   TD_BEV   TD_3D    range_m_q1        N_bbox_q1  BEV_src_q1  3D_src_q1  BEV_tgt_q1  3D_tgt_q1  TD_BEV_q1  TD_3D_q1  range_m_q2         N_bbox_q2  BEV_src_q2  3D_src_q2  BEV_tgt_q2  3D_tgt_q2  TD_BEV_q2  TD_3D_q2  range_m_q3         N_bbox_q3  BEV_src_q3  3D_src_q3  BEV_tgt_q3  3D_tgt_q3  TD_BEV_q3  TD_3D_q3  range_m_q4     N_bbox_q4  BEV_src_q4  3D_src_q4  BEV_tgt_q4  3D_tgt_q4  TD_BEV_q4  TD_3D_q4
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
group1       42    9           15,5        24,25       23        45.8805  25.6088  54.0046  34.1339   8.1241   8.5251  [0.0000,22.8968)        393     45.9519    43.2300     63.7947    61.7031    17.8428   18.4731  [22.8968,39.8224)        392     43.6674    37.7403     43.8410    37.5845     0.1736   -0.1558  [39.8224,53.4989)        393     48.7622    11.2040     53.4908    19.8216     4.7286    8.6176  [53.4989,inf)        392     48.3139    13.9194     49.0029    17.7648     0.6890    3.8454
group4       42    9           20,5        24,25       23        40.2097  22.3310  56.4281  34.8202  16.2184  12.4892  [0.0000,22.8968)        393     40.9123    37.7243     67.8827    66.7808    26.9704   29.0565  [22.8968,39.8224)        392     35.9293    29.1546     46.9309    41.0579    11.0016   11.9033  [39.8224,53.4989)        393     41.5682     9.1469     56.5418    18.9772    14.9736    9.8303  [53.4989,inf)        392     43.9740    16.9852     49.0815    16.7635     5.1075   -0.2217
group2       42    9           15,5        23,25       24        44.3212  26.7730  69.8328  45.8413  25.5116  19.0683  [0.0000,31.3499)        508     57.4215    55.2808     75.1827    72.3221    17.7612   17.0413  [31.3499,49.1760)        508     47.4397    38.4835     73.6309    64.5270    26.1912   26.0435  [49.1760,61.5117)        507     50.5420    10.2362     78.2388    29.1641    27.6968   18.9279  [61.5117,inf)        508     20.8416     4.2914     43.5641    11.8512    22.7225    7.5598
group5       42    9           20,5        23,25       24        43.8184  26.9076  67.6824  43.7780  23.8640  16.8704  [0.0000,31.3499)        508     57.6291    55.0160     74.7116    72.0071    17.0825   16.9911  [31.3499,49.1760)        508     43.6662    36.7538     71.2356    61.7939    27.5694   25.0401  [49.1760,61.5117)        507     48.8376    12.1432     74.7767    25.4255    25.9391   13.2823  [61.5117,inf)        508     25.1807     6.2686     43.4889    10.9081    18.3082    4.6395
group3       42    9           15,5        23,24       25        28.8668  23.5785  53.3106  40.2347  24.4438  16.6562  [0.0000,20.0468)        505     47.9508    45.7256     68.0554    65.0285    20.1046   19.3029  [20.0468,31.5953)        506     32.8458    28.5849     51.8201    37.1572    18.9743    8.5723  [31.5953,44.8272)        505     19.0424    11.9292     54.1914    34.3254    35.1490   22.3962  [44.8272,inf)        505      9.6608     4.7867     31.3305    20.9973    21.6697   16.2106
group6       42    9           20,5        23,24       25        24.6295  20.2679  53.1439  40.2587  28.5144  19.9908  [0.0000,20.0468)        505     42.4706    40.3289     66.9910    64.0749    24.5204   23.7460  [20.0468,31.5953)        506     27.7950    24.3946     52.2537    39.2728    24.4587   14.8782  [31.5953,44.8272)        505     15.9752    11.4231     53.6934    33.0285    37.7182   21.6054  [44.8272,inf)        505      9.5031     4.7676     31.1333    20.1847    21.6302   15.4171
group7       43    9           15,5        24,25       23        41.9427  23.8003  50.7081  31.4970   8.7654   7.6967  [0.0000,22.8968)        393     34.2760    31.1541     56.5690    53.9323    22.2930   22.7782  [22.8968,39.8224)        392     45.1094    36.3464     45.2669    40.6080     0.1575    4.2616  [39.8224,53.4989)        393     49.9434    14.3573     51.4379    19.3222     1.4945    4.9649  [53.4989,inf)        392     46.8886    16.2758     46.8458    15.4501    -0.0428   -0.8257
group10      43    9           20,5        24,25       23        39.9978  22.5385  50.6894  31.4579  10.6916   8.9194  [0.0000,22.8968)        393     35.5122    33.1695     61.1418    59.3706    25.6296   26.2011  [22.8968,39.8224)        392     39.9587    32.3590     42.3813    38.0168     2.4226    5.6578  [39.8224,53.4989)        393     43.9583    12.2198     51.9092    17.5195     7.9509    5.2997  [53.4989,inf)        392     42.4576    14.3049     44.5107    14.3048     2.0531   -0.0001
group8       43    9           15,5        23,25       24        47.8281  27.3316  69.2378  45.0316  21.4097  17.7000  [0.0000,31.3499)        508     58.8804    56.2253     74.9972    71.1151    16.1168   14.8898  [31.3499,49.1760)        508     49.7431    40.0461     72.4116    61.1213    22.6685   21.0752  [49.1760,61.5117)        507     56.4080    11.5882     77.0542    28.8330    20.6462   17.2448  [61.5117,inf)        508     23.5960     4.2540     45.6187    13.1459    22.0227    8.8919
group11      43    9           20,5        23,25       24        36.7271  21.9962  69.5499  45.7638  32.8228  23.7676  [0.0000,31.3499)        508     46.8245    44.3397     75.4136    70.7195    28.5891   26.3798  [31.3499,49.1760)        508     39.7159    33.3763     73.2731    62.4542    33.5572   29.0779  [49.1760,61.5117)        507     42.8882     9.2487     76.6915    29.4869    33.8033   20.2382  [61.5117,inf)        508     21.3859     4.1281     46.7329    14.7748    25.3470   10.6467
group9       43    9           15,5        23,24       25        26.3945  20.7545  52.7525  41.3121  26.3580  20.5576  [0.0000,20.0468)        505     38.9501    35.8738     68.9638    64.9220    30.0137   29.0482  [20.0468,31.5953)        506     32.8440    29.4663     50.8682    39.5521    18.0242   10.0858  [31.5953,44.8272)        505     18.9039    11.3054     53.1517    35.5775    34.2478   24.2721  [44.8272,inf)        505     10.7199     4.9481     28.9023    19.0193    18.1824   14.0712
group12      43    9           20,5        23,24       25        24.7254  20.5046  52.3635  41.7569  27.6381  21.2523  [0.0000,20.0468)        505     41.1818    38.7752     69.3519    67.0153    28.1701   28.2401  [20.0468,31.5953)        506     29.0660    27.1183     49.8991    39.3892    20.8331   12.2709  [31.5953,44.8272)        505     16.3139    11.6618     52.8538    35.6427    36.5399   23.9809  [44.8272,inf)        505      9.8439     4.7424     27.8743    18.5252    18.0304   13.7828
group16      44    9           20,5        24,25       23        47.6360  22.8276  54.0166  35.4717   6.3806  12.6441  [0.0000,22.8968)        393     40.6704    37.1096     60.9246    58.5836    20.2542   21.4740  [22.8968,39.8224)        392     45.8021    34.6223     47.4848    42.9674     1.6827    8.3451  [39.8224,53.4989)        393     51.2595    10.3437     54.3582    23.9486     3.0987   13.6049  [53.4989,inf)        392     48.6419    15.7151     47.2228    17.6301    -1.4191    1.9150
group17      44    9           20,5        23,25       24        46.4622  27.3649  68.0758  44.3267  21.6136  16.9618  [0.0000,31.3499)        508     55.2414    52.0642     74.8870    71.9087    19.6456   19.8445  [31.3499,49.1760)        508     45.5525    38.0480     72.0544    62.0966    26.5019   24.0486  [49.1760,61.5117)        507     56.4249    14.1989     76.3701    27.6672    19.9452   13.4683  [61.5117,inf)        508     29.7891     7.0317     45.2880    11.2352    15.4989    4.2035
group18      44    9           20,5        23,24       25        26.1121  21.0727  48.9116  36.9275  22.7995  15.8548  [0.0000,20.0468)        505     40.5248    37.2879     61.1920    55.9018    20.6672   18.6139  [20.0468,31.5953)        506     31.9442    28.2198     48.4985    36.4183    16.5543    8.1985  [31.5953,44.8272)        505     17.3803    11.5464     51.5114    32.7566    34.1311   21.2102  [44.8272,inf)        505     10.2452     5.3081     25.7274    16.8355    15.4822   11.5274
average(15)  -     -           -           -           -                                             20.3437  15.9303                                                                               22.3774   22.1387                                                                                16.7181   13.9535                                                                                22.5375   15.9296                                                                            13.6855    7.4442
