Sedan Strict BEV Size by Sequence
=================================

Source:
  Official K-Radar revised Cartesian v2.1 annotations.
  Objects are matched to the Sedan annotations used by K-Radar-GT-Polar-v2.

Calculation:
  Full length = 2 * annotated half_length
  Full width  = 2 * annotated half_width
  Strict BEV area = full length * full width

Units:
  Length and width: metres (m)
  BEV area: square metres (m^2)

Identifiers:
  f = GT frame number
  o = object ID

| Seq | Sedan N | Average area (m^2) | Smallest: area; LxW; frame/object | Largest: area; LxW; frame/object |
|----:|--------:|-------------------:|-----------------------------------|----------------------------------|
| 1 | 1190 | 7.080 | 5.052; 3.132x1.613; f294/o1 | 13.905; 5.187x2.681; f533/o44 |
| 2 | 1 | 5.537 | 5.537; 3.003x1.844; f110/o12 | 5.537; 3.003x1.844; f110/o12 |
| 3 | 484 | 10.320 | 7.061; 3.814x1.851; f215/o29 | 14.537; 5.888x2.469; f193/o1 |
| 4 | 66 | 6.361 | 6.255; 3.280x1.907; f1/o0 | 7.659; 3.792x2.020; f348/o341 |
| 5 | 2625 | 8.674 | 5.117; 3.111x1.645; f150/o173 | 14.277; 4.868x2.933; f97/o162 |
| 6 | 198 | 8.519 | 3.170; 1.894x1.673; f594/o89 | 18.821; 4.691x4.012; f134/o10 |
| 7 | 1358 | 8.546 | 4.262; 2.906x1.467; f271/o59 | 12.827; 5.137x2.497; f567/o93 |
| 8 | 747 | 9.960 | 6.660; 3.809x1.748; f553/o113 | 13.675; 4.737x2.887; f300/o102 |
| 9 | 1966 | 10.710 | 7.452; 4.264x1.747; f4/o7 | 16.281; 6.158x2.644; f333/o1 |
| 10 | 2482 | 12.080 | 5.288; 3.201x1.652; f935/o203 | 19.937; 6.821x2.923; f314/o305 |
| 11 | 3838 | 9.806 | 5.353; 3.595x1.489; f184/o105 | 19.068; 7.353x2.593; f683/o194 |
| 12 | 2001 | 11.389 | 4.667; 2.155x2.165; f30/o103 | 22.850; 8.460x2.701; f104/o100 |
| 13 | 305 | 8.827 | 7.088; 4.058x1.747; f1/o100 | 14.219; 6.259x2.272; f47/o103 |
| 14 | 322 | 11.461 | 10.134; 4.759x2.129; f481/o103 | 13.049; 5.159x2.529; f395/o103 |
| 15 | 1636 | 11.450 | 8.178; 3.210x2.548; f283/o131 | 12.441; 4.725x2.633; f88/o102 |
| 16 | 2335 | 9.738 | 3.881; 2.967x1.308; f492/o171 | 14.375; 5.701x2.522; f574/o188 |
| 17 | 1817 | 10.961 | 6.004; 3.396x1.768; f42/o103 | 18.582; 6.541x2.841; f125/o108 |
| 18 | 1604 | 11.073 | 7.806; 4.442x1.757; f575/o108 | 13.162; 5.355x2.458; f118/o105 |
| 19 | 1268 | 8.645 | 4.849; 3.005x1.614; f437/o136 | 14.462; 5.240x2.760; f479/o140 |
| 20 | 1905 | 8.602 | 0.502; 0.601x0.837; f20/o104 | 11.297; 4.726x2.390; f533/o182 |
| 21 | 2782 | 8.056 | 4.749; 3.469x1.369; f358/o142 | 11.117; 4.683x2.374; f476/o167 |
| 22 | 1443 | 11.272 | 6.042; 3.495x1.729; f41/o100 | 15.213; 5.690x2.674; f504/o103 |
| 23 | 1569 | 9.814 | 8.136; 4.121x1.974; f113/o105 | 11.814; 4.733x2.496; f343/o101 |
