sequence_id,environment,time,weather,frames,empty_frames,empty_rate_percent,object_count,top_classes
1,urban,night,normal,597,11,2,1307,"Sedan:1190, Bus or Truck:117"
2,highway,night,normal,598,500,84,99,"Bus or Truck:98, Sedan:1"
3,highway,night,normal,599,33,6,1520,"Bus or Truck:1036, Sedan:484"
4,highway,night,normal,588,196,33,479,"Bus or Truck:413, Sedan:66"
5,urban,day,normal,598,1,0,2668,"Sedan:2625, Pedestrian:28, Bicycle:15"
6,urban,night,normal,594,483,81,198,Sedan:198
7,alleyway,night,normal,595,75,13,1581,"Sedan:1358, Pedestrian:110, Motorcycle:52"
8,university,night,normal,598,151,25,1201,"Sedan:747, Bicycle:370, Motorcycle:84"
9,highway,day,normal,1206,373,31,2448,"Sedan:1966, Bus or Truck:482"
10,highway,day,normal,1203,144,12,3198,"Sedan:2482, Bus or Truck:716"
11,highway,day,normal,1195,7,1,5456,"Sedan:3838, Bus or Truck:1618"
12,highway,day,normal,1192,339,28,2976,"Sedan:2001, Bus or Truck:975"
13,highway,day,overcast,1190,974,82,407,"Sedan:305, Bus or Truck:102"
14,urban,day,normal,595,273,46,322,Sedan:322
15,urban,day,normal,591,57,10,1658,"Sedan:1636, Motorcycle:22"
16,university,day,normal,590,13,2,2498,"Sedan:2335, Pedestrian:84, Bicycle:57"
17,university,day,normal,593,7,1,2197,"Sedan:1817, Bicycle:231, Pedestrian Group:69"
18,urban,day,normal,594,1,0,1604,Sedan:1604
19,alleyway,day,normal,592,21,4,1585,"Sedan:1268, Pedestrian:131, Motorcycle:105"
20,urban,day,normal,595,85,14,2150,"Sedan:1905, Pedestrian:218, Bus or Truck:16"
21,alleyway,night,rain,610,69,11,2870,"Sedan:2782, Bus or Truck:69, Pedestrian:19"
22,urban,night,overcast,611,13,2,1462,"Sedan:1443, Bus or Truck:19"
23,urban,night,rain,611,13,2,1569,Sedan:1569
24,urban,night,rain,610,12,2,2029,Sedan:2029
25,urban,night,rain,613,16,3,2099,"Sedan:2021, Bus or Truck:78"
26,countryside,day,rain,608,270,44,667,"Sedan:620, Bus or Truck:47"
27,countryside,day,sleet,609,304,50,305,"Bus or Truck:273, Sedan:32"
28,mountain,day,sleet,611,14,2,597,Bus or Truck:597
29,mountain,day,sleet,614,17,3,597,Bus or Truck:597
30,parkinglots,day,sleet,610,140,23,2135,"Pedestrian:1326, Sedan:809"
31,countryside,day,sleet,608,479,79,155,"Sedan:128, Bus or Truck:27"
32,countryside,day,rain,610,523,86,121,"Sedan:96, Bus or Truck:25"
33,countryside,day,rain,610,360,59,261,"Sedan:252, Bus or Truck:9"
34,countryside,night,rain,611,484,79,269,Sedan:269
35,parkinglots,night,sleet,609,316,52,349,Bus or Truck:349
36,parkinglots,night,sleet,609,280,46,427,"Bus or Truck:407, Sedan:20"
37,countryside,night,sleet,609,98,16,840,"Pedestrian:798, Sedan:42"
38,mountain,day,fog,604,58,10,546,Sedan:546
39,mountain,day,fog,606,10,2,596,Sedan:596
40,mountain,day,fog,610,296,49,678,Sedan:678
41,mountain,day,fog,607,184,30,594,Sedan:594
42,urban,day,lightsnow,605,7,1,969,Sedan:969
43,urban,day,lightsnow,609,25,4,1614,"Sedan:1332, Pedestrian:282"
44,shoulder,day,fog,605,9,1,1472,"Pedestrian:796, Sedan:676"
45,shoulder,day,fog,593,1,0,1697,"Sedan:1061, Pedestrian:636"
46,highway,night,heavysnow,609,21,3,1029,"Bus or Truck:700, Sedan:329"
47,highway,night,heavysnow,609,365,60,258,"Bus or Truck:153, Sedan:105"
48,highway,night,lightsnow,606,163,27,1003,"Bus or Truck:641, Sedan:362"
49,highway,night,lightsnow,608,10,2,807,"Bus or Truck:669, Sedan:138"
50,highway,night,sleet,607,40,7,1077,Sedan:1017
51,highway,night,sleet,608,363,60,353,"Sedan:260, Bus or Truck:93"
52,highway,night,sleet,612,191,31,438,Sedan:438
53,highway,day,sleet,611,21,3,590,Sedan:590
54,urban,day,heavysnow,611,12,2,952,Sedan:952
55,urban,day,heavysnow,613,119,19,732,Sedan:732
56,urban,day,heavysnow,608,206,34,522,"Sedan:518, Bus or Truck:4"
57,urban,day,heavysnow,609,12,2,741,"Bus or Truck:597, Sedan:144"
58,urban,day,heavysnow,609,12,2,925,"Bus or Truck:597, Sedan:328"
