Controlled sequence comparison

The before and after values refer to the selected continuous source window.
Ignored bboxes are not removed from gt.txt; they are applied through the training ignore override.

Coordinate mode: cartesian
Center range bins (m): [0,20), [20,40), [40,60), [60,80), [80,120)

Sequence pair: controlled seq1 -> reference seq22
Selected source window: file_idx 0 - 596
Selected random seed: 99

Metric | Before control | After control | Reference
--- | ---: | ---: | ---:
Frames | 597 | 597 | 611
Empty frames | 11 | 14 | 13
Empty rate | 1.84% | 2.35% | 2.13%
Sedan bbox [0,20) | 205 | 140 | 140
Sedan bbox [20,40) | 466 | 452 | 452
Sedan bbox [40,60) | 283 | 283 | 506
Sedan bbox [60,80) | 211 | 211 | 340
Sedan bbox [80,120) | 45 | 6 | 6
Bus or Truck bbox [0,20) | 30 | 3 | 3
Bus or Truck bbox [20,40) | 46 | 6 | 6
Bus or Truck bbox [40,60) | 37 | 6 | 6
Bus or Truck bbox [60,80) | 7 | 4 | 4
Bus or Truck bbox [80,120) | 0 | 0 | 0
Total bbox in bins | 1330 | 1111 | 1463
Effective target bbox in bins | 1330 | 1111 | 1463
Original target bbox in GT | 1330 | 1330 | 1463
